Designator,Mid X,Mid Y,Layer,Rotation
C1,177.5460,-104.5210,Top,180
C2,177.1520,-102.8700,Top,180
C3,177.1520,-101.2500,Top,180
C4,187.8330,-90.6520,Top,90
C5,194.6250,-97.5360,Top,0
D1,176.3960,-98.9990,Top,270
D2,194.5520,-103.3170,Top,90
D3,181.2545,-107.4420,Top,0
R1,176.7840,-93.9800,Top,0
R2,176.6570,-95.8850,Top,0
R3,177.8630,-109.2200,Top,0
R4,191.5160,-103.4420,Top,270
R5,190.5000,-99.0600,Top,270
R6,194.7490,-106.0450,Top,0
R7,194.5590,-100.8380,Top,0
R8,181.1650,-109.2200,Top,0
SW1,171.6790,-107.0560,Top,0
U1,183.8450,-98.8060,Top,90
U2,201.6760,-102.6160,Top,90
USB1,170.5825,-98.5500,Top,270
